id,en,jp,trans
0-chapter_name,,見えない未来,看不见的未来
0-synopsis,,予知を外し放心状態に陥るマギサ。やがて、この旅で自分の運命が変わり、もう予知はできなくなるかもしれないと語リ始める。しかし、仲間達の姿に、むしろ予知のできない未来を楽しもうと心に決める。,Yoshiharu先生失去了预测，陷入了空虚状态。不久，他们的命运将在这个旅程中发生变化，开始Katariri并且可能无法再预测。但在心中决定尝试以他们的朋友的方式享受不可预测的未来。
0,,<span class='scene-font-katari'>村からの魔物の討伐依頼を</span><br><span class='scene-font-katari'>無事完了した姬塔一行。</span>,一排姬塔成功完成了村里的复员请求。
1,,<span class='scene-font-katari'>一行は、</span><br><span class='scene-font-katari'>放心状態のマギサを騎空艇に乗せ、</span><br><span class='scene-font-katari'>村を出発した。</span>,党，就把茫然的玛基莎坐在空艇，它离开了村庄。
2,,ご、ごめんなさい……<br>私……私の予知が外れるなんて……,对不起......我......我的预测结果......
3,,いままでは一度だって、<br>そんなことはなかったんだけど……,甚至一次，没有这样的事情......
4,,もしかすると、<br>姬塔と旅をすることで、<br>私の運命が変わりつつあるのかも……,也许，我的命运可能会因为与宝塔一起旅行而改变......
5,,そうなると、<br>私にはもう、未来のことは何も……,那么，对我来说，未来一切......
6,,あっ！,有！
7,,ど、どうしたの？　ルリアちゃん。,你在哪里？俄罗斯莉亚-chan。
8,,お土産……買い忘れちゃいましたね。,纪念品......我忘了买它。
9,,あ……,呵呵......
10,,すっかり忘れてたぜ……<br>姉さん、いまからでも戻るか？,我完全忘了......我姐姐，你现在要回去了吗？
11,,ふ……ふふ、まぁ、いいわ。<br>このまま進みましょう。,Fuu ......好吧，好吧。让我们继续吧。
12,,あの子には<br>お土産話がたくさんできそうだもの。,那个女孩似乎能够制作出许多纪念品故事。
13,,稀代の魔女の私ですら予知できない、<br>波乱に満ちた旅の出来事、とかね。,甚至不能预测我基泰女巫，旅途的事件是多事，我十日。
14,,<span class='scene-font-katari'>マギサは満足そうに、</span><br><span class='scene-font-katari'>そう口にする。</span>,Yasaharu似乎很满意，他这么说。
15,,<span class='scene-font-katari'>その顔に見知らぬ未来への不安はなく、</span><br><span class='scene-font-katari'>まだ見ぬ未来への</span><br><span class='scene-font-katari'>期待に満ちているのだった。</span>,而不是恐惧的脸未知的未来，它was're充满了看不见未来的预期。
info,,1,scene_chr051_q3_s20
