id,en,jp,trans
0-chapter_name,,魔女の見た夢,女巫的梦想
0-synopsis,,一行は謎の魔女マギサにルリアを連れ去られそうになる。それを止め話を聞くと、マギサは以前見た星の島の夢に焦がれ、ルリアを探していたという。同じ目的を持つ一行とマギサは、旅を共にすることになる。,似乎将一条线从Ryori带到一个神秘的女巫身上。当它停止时，他听到了我之前看到的星岛的梦想，他说他正在寻找Rewari。具有相同目的的团体和Yusenga将一起旅行。
0,,<span class='scene-font-katari'>旅の途中、とある小さな街を訪れた</span><br><span class='scene-font-katari'>姬塔一行。</span>,在旅途中，一座塔楼参观了一个小镇。
1,,<span class='scene-font-katari'>用を済ませ、</span><br><span class='scene-font-katari'>騎空艇に乗り込もうとする一行に</span><br><span class='scene-font-katari'>声をかける姿があった。</span>,有一个数字呼唤一条线试图骑上骑兵船。
2,,ねぇ……<br>ちょっとそこ行くお嬢さん。<br>水色の髪の貴女……そう、貴女よ。,嘿......小女孩去那儿。淡蓝色的头发......是的，你。
3,,えと……わ、私ですか？,嗯......哇，是我吗？
4,,そう、貴女……やっと見つけた。<br>ずぅっと探してたんだから。,是的，你...终于我发现了。因为我正在寻找它一段时间。
5,,へっ？<br>ずっと探してた、って……<br>私をですか……？,嘿？我一直在寻找你......你......我？
6,,おい、まさか、アンタ……<br>ルリアのことを知ってるってのか！？,嘿，毫无疑问，我想知道......你知道奖励！ ？
7,,あら……「アンタ」なんて失礼な……<br>ああ、そうね……<br>綺麗なお姉さん、じゃ呼びにくいか。,哦......这是不礼貌的......“哦，是的......嗯......美丽的姐姐，难以打电话给你吗？
8,,ん、それじゃあ、<br>私のことはマギサって呼んで頂戴。,那么，请叫我先生。
9,,話を戻すけど……<br>私、貴女をずっと探してたの。<br>でも、ようやく見つけたわ。,我会回复这个故事，但是......我一直在寻找你。但我终于找到了它。
10,,さぁ、<br>私と一緒に来てもらいましょうか。<br>大丈夫、悪いようにはしないわ。,好吧，我能和你一起去吗？没关系，我不会那么糟糕。
11,,えぇっ！？<br>ちょ、ちょっと、待ってください！,噢，我的上帝！ ？等一下，请稍等！
12,,そうだぜ！<br>いきなり無茶苦茶言いやがって！<br>まさか帝国の手先か！？,那是对的！突然他说不舒服！这不是帝国的指尖！ ？
13,,帝国？<br>ああ、エルステ帝国のこと？<br>そんなのに興味はないけど……,帝国？哦，Elste帝国怎么样？我对那种事情不感兴趣......
14,,ふふ……貴方、なかなか凛々しいわ。<br>良い目をしてる……<br>貴方はこの水色の子の護衛かしら？,呵呵......你很安静。我的眼睛很好......你是这个浅蓝色孩子的护送人吗？
15,,姬塔は、<br>オイラ達騎空団の団長だぜ！,塔是Eura Takkyunkai团队的校长！
16,,そうですっ！<br>こう見えて、結構頼りになるんですよ！,那是对的！看起来像这样，我很可靠！
17,,それに……それだけじゃなくって、<br>私とは、その……<br>切っても切れない仲というか……,除此之外......不仅如此，还有那......那......我们不能离婚的关系......
18,,あら……？<br>まさか……へぇぇ！<br>そう？　そうなの？　ふふふ……,哦......？没办法......嘿！是这样吗？是这样吗？河湖......
19,,あっ、えっと、その……<br>本当に変な意味じゃなくて……<br>な、なんでニヤニヤしてるんですか！？,啊，恩，那......并不是很奇怪的意思......你为什么笑！ ？
20,,いいえ？　別に？<br>ふぅん……<br>でも、そうすると困ったわね……,没有？除了？嗯......但是，这对我没有帮助......
21,,よう、おねーさん！<br>何に困ってるってんだい？,看起来像妹妹！有什么问题？
22,,げっ……<br>なんだぁ、こいつ……,打击......真是太糟糕了，这家伙......
23,,なんだ？<br>トカゲの駆除でもしてんのか？,什么？你也在消灭蜥蜴吗？
24,,そんなことよりさー！<br>おねーさん、俺と遊ばない？<br>いまちょうど暇してんだよね！,不仅如此！哦不，你和我一起玩吗？我现在正好赶上！
25,,あら、貴方……私と遊びたいの？,哦，你......你想和我一起玩吗？
26,,そうね、それなら……<br>もうひとりお友達がいるんだけど、<br>その子も一緒でいいかしら？,好吧，那么......我有另一个朋友，我可以和那个孩子在一起吗？
27,,もちろん！<br>おねーさんみたいな美人のお友達なら、<br>大歓迎だぜ！,当然！如果你是一个像妹妹一样美丽的朋友，欢迎你！
28,,そう？<br>大歓迎ですって、良かったじゃない……<br>ねぇ？　モーさん。,是这样吗？很高兴这是一个很大的欢迎......嘿？穆先生
29,,私もちょうど<br>持て余してたところだったの。<br>さぁ、一緒に遊びましょう？,我刚刚摆脱它。好吧，让我们一起玩吧。
30,,な……なんだこいつ！？,什么废话！ ？
31,,私の大切なお友達よ。<br>大丈夫、見た目ほど怖くはないわ。<br>ちょこーっとだけ短気だけど……ね。,我的宝贵朋友。没关系，它并不像它看起来那么可怕。它有一段时间的脾气暴躁......
32,,ふ、ふざけんな！　やってられっか！<br>くそっ……この魔女め！,傅，闷闷不乐！做你能做的！该死......这个女巫！
34,,くすくす……<br>あーあ、またフラれちゃった。,咯咯......哦，它再次翻转。
35,,っと……<br>あんなヘタレはどうでもいいのよ。,呃......那种笨蛋毫无用处。
36,,ともかく、私の目的のためには、<br>どうしても、<br>この子が必要なんだけど……,无论如何，为了我的目的，我绝对需要这个女孩......
37,,<span class='scene-font-katari'>姬塔は、</span><br><span class='scene-font-katari'>ルリアとの出会いや、</span><br><span class='scene-font-katari'>これまでの旅を説明する。</span>,宝塔解释了与Roryi的相遇以及已经完成的旅程。
38,,そう……<br>そういう経緯があったのね。,是的......就是这样的。
39,,それで？　姉さんが言ってた<br>ルリアが必要ってのは、<br>どういうことなんだ？,还等什么？姐姐说我们需要力拓这是什么意思？
40,,鍵なのよ……ルリアちゃんは。<br>姬塔も知ってるでしょう？<br>ルリアちゃんがどういう存在か。,这是关键...... Rewi Ri-chan是。你甚至知道宝塔吗？ Rewius-chan的存在是什么？
41,,私はね……焦がれたの。<br>ある晩、夢で見た世界に、<br>どうしようもなく焦がれてしまった。,我猜......我很沮丧。一天晚上，我在梦中看到的世界，我被烧毁了。
42,,いまでも思い出せる。<br>香りまでしっかり覚えてる……<br>私は探したわ、夢に見た世界を。,我还记得。我记得，直到香水......我寻找，我在梦中看到的世界。
43,,まさか……<br>マギサさんが<br>夢で見たって言うのは……,没办法......他在梦中说了什么......
44,,ふふ……<br>私ね、これでも天性の魔女なの。<br>だから特別な夢はたくさん見てきた……,嗯......我，这是一个天生的女巫。所以我见过很多特别的梦......
45,,でも、あの世界は、<br>過去でも未来でもなかった……,但那个世界既不是过去也不是未来......
46,,気づいたとき、<br>さすがにびっくりしたんだから。<br>まさかあれが星の島だなんてね。,当你注意到它令人惊讶的惊讶。它绝不是一个星岛。
47,,んなっ……！？,好吧......！ ？
48,,そういうわけで、<br>私にはルリアちゃんが必要なの。<br>まさか諦めろなんて言わないわよね？,这就是我需要Roryi-chan的原因。你不是在告诉我放弃？
49,,私、これでも一途なの。<br>こうと決めたらどんな手を使ってでも、<br>絶対に譲ったりしないわ。,我，这是它的一部分。无论我决定什么样的牌，我永远不会放弃。
50,,さぁ……<br>良い返事を聞かせてくれるかしら？,嗯......你能听到我的回复吗？
50-sel1_txt,,<span class='scene-font-katari'>じゃあ、一緒に行こう</span>,我们一起去吧
50-sel2_txt,,<span class='scene-font-katari'>ルリアは渡さない</span>,我们不露水
51,,一緒に……？<br>私が姬塔達と？,一起......？我和宝塔一起吗？
52,,そりゃいいや！<br>目的地は一緒なんだし、<br>みんなで行こーぜ！,那是对的！目的地是一样的，所以让我们一起去吧！
53,,は、はわわ……,夏威夷......
54,,凛々しいわね……蕩けちゃいそう。<br>でも、交渉は決裂ね。,它是如此坚韧......我要付出代价。谈判破裂了。
55,,ま、待てって！<br>そんなら姉さんもオイラ達と<br>一緒に来ればいいんじゃねーか！？,等等，等等！我想知道那个姐姐是否还带着Oila！ ？
56,,そう……ふふ、そうね。<br>面白い提案……いえ、名案ね。,是的......嗯，好吧。有趣的提议......不，这是个好主意。
57,,それなら遠慮なく、<br>私も姬塔達の旅に、<br>ご一緒させてもらおうかしら。,如果是这样，请随时与我分享。
58,,姬塔は、<br>なかなか頼もしいみたいだし、<br>私を後悔させないで頂戴ね？,看起来很可靠，难道你不后悔吗？
59,,<span class='scene-font-katari'>思わぬところで、</span><br><span class='scene-font-katari'>同じ目的を持つ仲間を得た</span><br><span class='scene-font-katari'>姬塔。</span>,一个意想不到的地方，一个有同样目的的朋友的塔。
60,,<span class='scene-font-katari'>見果てぬ地を目指し、</span><br><span class='scene-font-katari'>姬塔一行は空を進む。</span>,塔楼瞄准一个看不见的地方，穿过天空。
info,,1,scene_fate_chr051_ep1
